kingdom	phylum	class	order	family	genus	species
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_howellii
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_israelii
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_naeslundii
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_oris
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_pacaensis
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_qiguomingii
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_radicidentis
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_slackii
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_2129
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_299
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_432
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_Chiba101
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_dk561
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_oral_taxon_171
